id,title,publication,url,date,source,retrievedAt,featured,selectionReason,dateSource,sourceDescription,sourceImage,dateEvidence,authorshipEvidence
nunca-me-abandones-canto-a-la-finitud-humana,‘Nunca me abandones’: canto a la finitud humana,El Debate,https://www.eldebate.com/cultura/libros/20260919/nunca-me-abandones-canto-finitud-humana_459158.html,2026-09-19,https://www.eldebate.com/autor/fernando-ariza/,2026-09-25,False,,,,,,
fortunata-y-jacinta-la-gran-novela-espanola,"‘Fortunata y Jacinta’, la Gran Novela Española",El Debate,https://www.eldebate.com/cultura/libros/20260822/fortunata-jacinta-gran-novela-espanola_451036.html,2026-08-22,https://www.eldebate.com/autor/fernando-ariza/,2026-09-25,False,,,,,,
madame-bovary-o-la-muerte-del-narrador,'Madame Bovary' o la muerte del narrador,El Debate,https://www.eldebate.com/cultura/libros/20260801/madame-bovary-muerte-narrador_445137.html,2026-08-01,https://www.eldebate.com/autor/fernando-ariza/,2026-09-25,True,Para conocer su mirada sobre el narrador y la construcción de una novela.,,,,,
flujo-erudito-de-conciencia,Flujo erudito de conciencia,Zenda,https://www.zendalibros.com/flujo-erudito-de-conciencia/,2026-07-30,https://www.zendalibros.com/author/fernandoariza/,2026-09-25,False,,https://www.zendalibros.com/flujo-erudito-de-conciencia/,"Fernando Ariza escribe sobre 'Melancolía de los confines: Norte', de Mathias Enard, publicado por Mondadori.",https://cdn.zendalibros.com/wp-content/uploads/2026/07/61bpkwydggl._sl1096_.jpg,30 Jul 2026,
mortal-y-rosa-el-dolor-que-umbral-convirtio-en-literatura,'Mortal y rosa': el dolor que Umbral convirtió en literatura,El Debate,https://www.eldebate.com/cultura/libros/20260620/mortal-rosa-dolor-umbral-convirtio-literatura_430215.html,2026-06-20,https://www.eldebate.com/autor/fernando-ariza/,2026-09-25,False,,,,,,
el-genero-negro-llevado-a-la-trastienda-del-consumo,El género negro llevado a la trastienda del consumo,Zenda,https://www.zendalibros.com/el-genero-negro-llevado-a-la-trastienda-del-consumo/,2026-06-04,https://www.zendalibros.com/author/fernandoariza/,2026-09-25,False,,https://www.zendalibros.com/el-genero-negro-llevado-a-la-trastienda-del-consumo/,"Fernando Ariza escribe en Zenda acerca de 'Mantis', un libro de Francisco Bescós publicado por Reservoir Books.",https://cdn.zendalibros.com/wp-content/uploads/2026/06/francisco-bescos-mantis.jpg,04 Jun 2026,
cancionero-y-romancero-de-ausencias-la-voz-desnuda-del-prisionero,'Cancionero y Romancero de Ausencias': la voz desnuda del prisionero,El Debate,https://www.eldebate.com/cultura/libros/20260523/cancionero-romancero-ausencias-voz-desnuda-prisionero_420021.html,2026-05-23,https://www.eldebate.com/autor/fernando-ariza/,2026-09-25,False,,,,,,
la-hija-que-el-fenix-no-quiso-ver,La hija que el Fénix no quiso ver,Zenda,https://www.zendalibros.com/la-hija-que-el-fenix-no-quiso-ver/,2026-05-08,https://www.zendalibros.com/author/fernandoariza/,2026-09-25,False,,https://www.zendalibros.com/la-hija-que-el-fenix-no-quiso-ver/,"Fernando Ariza escribe en Zenda acerca de 'La hija del fénix', un libro de Fernando Bonete publicado por Espasa.",https://cdn.zendalibros.com/wp-content/uploads/2026/05/la-hija-del-fenix-fernando-bonete.jpg,08 May 2026,
andrea-la-chica-rara,"Andrea, la chica rara",El Debate,https://www.eldebate.com/cultura/libros/20260411/andrea-chica-rara_405088.html,2026-04-11,https://www.eldebate.com/autor/fernando-ariza/,2026-09-25,False,,,,,,
picaresca-y-destino-en-la-posguerra,Picaresca y destino en la posguerra,Zenda,https://www.zendalibros.com/picaresca-y-destino-en-la-posguerra/,2026-04-09,https://www.zendalibros.com/author/fernandoariza/,2026-09-25,True,La tradición picaresca como punto de partida para leer la narrativa contemporánea.,https://www.zendalibros.com/picaresca-y-destino-en-la-posguerra/,"Fernando Ariza escribe en Zenda acerca de 'Me hallará la muerte', una novela de Juan Manuel de Prada recuperada por Espasa.",https://cdn.zendalibros.com/wp-content/uploads/2026/04/me-hallara-la-muerte-juan-manuel-de-prada.jpg,09 Abr 2026,
viejas-historias-de-castilla-la-vieja-delibes-y-la-memoria-de-una-tierra-que-resiste,‘Viejas historias de Castilla la Vieja’: Delibes y la memoria de una tierra que resiste,El Debate,https://www.eldebate.com/cultura/libros/20260307/viejas-historias-castilla-vieja-delibes-memoria-tierra-resiste_381803.html,2026-03-07,https://www.eldebate.com/autor/fernando-ariza/,2026-09-25,False,,,,,,
retrato-en-negro-y-blanco-de-tres-pioneras-de-nuestras-letras,Retrato en negro y blanco de tres pioneras de nuestras letras,Zenda,https://www.zendalibros.com/retrato-en-negro-y-blanco-de-tres-pioneras-de-nuestras-letras/,2026-03-05,https://www.zendalibros.com/author/fernandoariza/,2026-09-25,False,,https://www.zendalibros.com/retrato-en-negro-y-blanco-de-tres-pioneras-de-nuestras-letras/,"Fernando Ariza escribe en Zenda acerca de 'Tres amigas', un libro de Jesús Marchamalo publicado por Nórdica.",https://cdn.zendalibros.com/wp-content/uploads/2026/03/jesus-marchamalo-tres-amigas.jpg,05 Mar 2026,
la-aristocracia-ante-el-espejo,La aristocracia ante el espejo,Zenda,https://www.zendalibros.com/la-aristocracia-ante-el-espejo/,2026-02-04,https://www.zendalibros.com/author/fernandoariza/,2026-09-25,False,,https://www.zendalibros.com/la-aristocracia-ante-el-espejo/,"Fernando Ariza escribe acerca de 'Heredar el mérito', un ensayo de Rafael Atienza publicado por la editorial Pre-Textos.",https://cdn.zendalibros.com/wp-content/uploads/2026/02/heredar-el-merito-rafael-atienza.jpg,04 Feb 2026,
las-ratas-y-la-dignidad-del-campo,`Las ratas' y la dignidad del campo,El Debate,https://www.eldebate.com/cultura/libros/20260124/ratas-dignidad-campo_376954.html,2026-01-24,https://www.eldebate.com/autor/fernando-ariza/,2026-09-25,False,,,,,,
el-arte-de-saltarse-las-reglas-la-irrupcion-de-un-narrador-que-juzga-insulta-y-divierte,"El arte de saltarse las reglas: la irrupción de un narrador que juzga, insulta y divierte",Zenda,https://www.zendalibros.com/el-arte-de-saltarse-las-reglas-la-irrupcion-de-un-narrador-que-juzga-insulta-y-divierte/,2026-01-01,https://www.zendalibros.com/author/fernandoariza/,2026-09-25,False,,https://www.zendalibros.com/el-arte-de-saltarse-las-reglas-la-irrupcion-de-un-narrador-que-juzga-insulta-y-divierte/,"Fernando Ariza escribe en Zenda acerca de 'Arte de hablar', un libro de Xavier Guillén publicado por Ediciones del Viento.",https://cdn.zendalibros.com/wp-content/uploads/2025/12/xavier-guillen-arte-de-hablar.jpg,01 Ene 2026,
trascendencia-y-vacio,Trascendencia y vacío,Zenda,https://www.zendalibros.com/trascendencia-y-vacio/,2025-12-29,https://www.zendalibros.com/author/fernandoariza/,2026-09-25,False,,https://www.zendalibros.com/trascendencia-y-vacio/,"Fernando Ariza escribe en Zenda acerca de 'Sobre Dios', el último libro de Byung-Chul Han, publicado por Paidós.",https://cdn.zendalibros.com/wp-content/uploads/2025/11/sobre-dios-byung-chul-han.webp,29 Dic 2025,
ignacio-aldecoa-el-pulso-del-cuento,"Ignacio Aldecoa, el pulso del cuento",El Debate,https://www.eldebate.com/cultura/libros/20251227/ignacio-aldecoa-pulso-cuento_368715.html,2025-12-27,https://www.eldebate.com/autor/fernando-ariza/,2026-09-25,False,,,,,,
cuando-la-amistad-es-destino,Cuando la amistad es destino,Zenda,https://www.zendalibros.com/cuando-la-amistad-es-destino/,2025-11-29,https://www.zendalibros.com/author/fernandoariza/,2026-09-25,False,,https://www.zendalibros.com/cuando-la-amistad-es-destino/,"Fernando Ariza escribe en Zenda acerca de 'Querido J.', un libro de Lidia Jiménez publicado por la editorial Aliar.",https://cdn.zendalibros.com/wp-content/uploads/2025/11/lidia-jimenez-querido-j.jpg,29 Nov 2025,
memorias-cruzadas-y-heridas-compartidas-una-intrahistoria-de-espana-en-clave-coral,Memorias cruzadas y heridas compartidas: una intrahistoria de España en clave coral,República de las Letras,https://republicadelasletras.acescritores.com/2025/11/27/memorias-cruzadas-y-heridas-compartidas-una-intrahistoria-de-espana-en-clave-coral/,2025-11-27,https://republicadelasletras.acescritores.com/2025/11/27/memorias-cruzadas-y-heridas-compartidas-una-intrahistoria-de-espana-en-clave-coral/,2026-09-25,False,,,,,,Article body signed © FERNANDO ARIZA; author bio identifies Madrid 1978 / CEU literature professor.
entre-visillos-redescubrir-la-calma-en-los-tiempos-del-vacio,'Entre visillos': redescubrir la calma en los tiempos del vacío,El Debate,https://www.eldebate.com/cultura/libros/20251108/entre-visillos-redescubrir-calma-tiempos-vacio_352397.html,2025-11-08,https://www.eldebate.com/autor/fernando-ariza/,2026-09-25,False,,,,,,
estetica-de-la-desolacion,Estética de la desolación,Zenda,https://www.zendalibros.com/estetica-de-la-desolacion/,2025-11-01,https://www.zendalibros.com/author/fernandoariza/page/2/,2026-09-25,False,,https://www.zendalibros.com/estetica-de-la-desolacion/,"Fernando Ariza escribe en Zenda acerca de 'La sangre está cayendo al patio', un libro de Elvira Navarro publicado por Random House.",https://cdn.zendalibros.com/wp-content/uploads/2025/10/la-sangre-esta-cayendo-al-patio-elvira-navarro.jpg,01 Nov 2025,
pequeno-teatro-la-opera-prima-de-ana-maria-matute,`Pequeño teatro': la ópera prima de Ana María Matute,El Debate,https://www.eldebate.com/cultura/libros/20250927/pequeno-teatro-opera-prima-ana-maria-matute_337555.html,2025-09-27,https://www.eldebate.com/autor/fernando-ariza/,2026-09-25,False,,,,,,
una-vida-literaria-unida-por-sus-fragmentos,Una vida literaria unida por sus fragmentos,Zenda,https://www.zendalibros.com/una-vida-literaria-unida-por-sus-fragmentos/,2025-08-27,https://www.zendalibros.com/author/fernandoariza/page/2/,2026-09-25,False,,https://www.zendalibros.com/una-vida-literaria-unida-por-sus-fragmentos/,"Fernando Ariza escribe sobre 'En esta red sonora', de Vicente Luis Mora, publicado por Galaxia Gutenberg.",https://cdn.zendalibros.com/wp-content/uploads/2025/08/91jwivfzqpl._sl1500_.jpg,27 Ago 2025,
rafael-reig-si-tengo-un-descubierto-en-el-banco-ni-me-preocupo-ahi-sigo-escribiendo,"Rafael Reig: «Si tengo un descubierto en el banco, ni me preocupo; ahí sigo, escribiendo»",República de las Letras,https://republicadelasletras.acescritores.com/2025/08/27/rafael-reig-si-tengo-un-descubierto-en-el-banco-ni-me-preocupo-ahi-sigo-escribiendo/,2025-08-27,https://republicadelasletras.acescritores.com/2025/08/27/rafael-reig-si-tengo-un-descubierto-en-el-banco-ni-me-preocupo-ahi-sigo-escribiendo/,2026-09-25,True,"Una conversación de escritor a escritor sobre el oficio, la memoria y la literatura.",,,,,Article body signed © FERNANDO ARIZA; author bio identifies Madrid 1978 / CEU literature professor.
los-banquetes-del-gran-rey-el-siglo-de-oro-espanol-se-encuentra-con-la-dinastia-ming,‘Los banquetes del gran rey’: el Siglo de Oro español se encuentra con la dinastía Ming,El Debate,https://www.eldebate.com/cultura/libros/20250816/banquetes-gran-rey-siglo-oro-espanol-encuentra-dinastia-ming_325635.html,2025-08-16,https://www.eldebate.com/autor/fernando-ariza/,2026-09-25,False,,,,,,
martirio-y-milagro-entre-los-escombros-de-la-identidad,Martirio y milagro entre los escombros de la identidad,Zenda,https://www.zendalibros.com/martirio-y-milagro-entre-los-escombros-de-la-identidad/,2025-08-03,https://www.zendalibros.com/author/fernandoariza/page/2/,2026-09-25,False,,https://www.zendalibros.com/martirio-y-milagro-entre-los-escombros-de-la-identidad/,"Fernando Ariza escribe sobre '¡Mártir!', de Kaveh Akbar, publicado por Blackie Books.",https://cdn.zendalibros.com/wp-content/uploads/2025/08/71etk4w2btl._sl1500_.jpg,03 Ago 2025,
salto-de-fe-versos-que-dudan-aman-y-recuerdan,"'Salto de fe': versos que dudan, aman y recuerdan",El Debate,https://www.eldebate.com/cultura/libros/20250719/salto-fe-versos-dudan-aman-recuerdan_312145.html,2025-07-19,https://www.eldebate.com/autor/fernando-ariza/,2026-09-25,False,,,,,,
